index,sentences
0,Tropical Storm Danielle was a strong tropical storm that made landfall on Virginia in the 1992 Atlantic hurricane season.
1,"The fourth storm of the season, Danielle was one of two tropical cyclones in the year to make landfall in the United States, the other being Hurricane Andrew."
2,It formed out of a stationary trough of low pressure on September 18 near the coast of North Carolina.
3,"The system quickly reached tropical storm status, and Danielle looped to the west due to a change in steering currents."
4,Tropical Storm Danielle reached a peak of 65 mph(105 km/h) winds before weakening and hitting the Delmarva Peninsula.
5,The storm quickly dissipated over land.
6,"The storm dropped light rainfall throughout its path, and winds were minimal."
7,"The combination of Danielle and a high pressure system produced higher than normal tides and strong waves, causing beach erosion and light coastal damage."
8,"The waves killed two in New Jersey from a boat sinking, and also destroyed three houses in the Outer Banks of North Carolina."
9,Overall damage from the storm was minimal.
10,"-Meteorological history-
A surface trough of low pressure with an area of convection persisted off the southeast coast of the United States on September 18."
11,"On the same day, a weak tropical wave which moved off the coast of Africa on September 8 approached the area."
12,"A cold front merged with the stationary area of disturbed weather on September 20, and on September 22 a circulation developed 200 miles(320 km) southeast of Cape Hatteras, North Carolina."
13,"Organization continued as outflow became better defined, and the system developed into Tropical Depression Six later that day."
14,"The depression rapidly organized and attained tropical storm status with winds of 50 mph(80 km/h) just six hours after forming, upon which it was named Danielle."
15,"In response to an approaching trough, Danielle initially moved to the northeast."
16,"However, the trough outran the system, and a developing high pressure system to its north resulted in Danielle executing a tight, anticyclonic loop on September 23 to the 24th."
17,"The storm strengthened as it turned to the northwest, and reached a peak of 65 mph(105 km/h) winds on September 25 while just off the northeastern coast of North Carolina."
18,"Danielle turned to the north-northwest, and made landfall on the Eastern Shore of Virginia late on the 25th."
19,"It rapidly weakened over land, and dissipated over eastern Pennsylvania on September 26."
20,"-Preparations-
Early in its life, forecasters had difficulties regarding the future track and intensity of Danielle, including a northeastward motion instead of its loop."
21,"After Danielle executed its loop, forecasters consistently predicted a landfall along the northeastern North Carolina coastline."
22,"As a result, officials issued Tropical Storm Warnings for the coast of North Carolina on September 24, 36 hours before the storm passed to the east of the state."
23,"The continued northward motion caught forecasters off guard, and consequentially tropical storm warnings were not issued for the Delmarva Peninsula until just 12 hours before the storm made landfall."
24,"In addition, forecasters issued tropical storm warnings from Delaware through Watch Hill, Rhode Island, as a precaution."
25,"In North Carolina, ferry operations between Ocracoke and the mainland at Hyde County were closed, while officials canceled schools in Dare County, North Carolina due to the approaching storm."
26,"Several families voluntarily evacuated St. George's Island in southern St. Mary's County, Maryland."
27,"In addition, officials in Delaware recommended evacuations for low-level areas and beaches."
28,"As a precaution, officials set up two shelters in Kent County."
29,"-Impact-
--North Carolina--
The pressure gradient between Tropical Storm Danielle and a ridge of high pressure to its north produced moderately strong winds across eastern North Carolina, peaking at 58 mph(93 km/h) at Alligator River Bridge."
30,Several other locations reported over tropical storm force winds.
31,"The pressure gradient also produced higher than normal waves along the coastline, with a maximum of 20 feet(6.1 m) at Duck."
32,"Despite passing close to the coastline, Danielle dropped only light rainfall, totaling to 0.2 inches(5.1 mm) at Cape Hatteras."
33,"However, locations in the central portion of the state experienced over 1 inch(25 mm) of rainfall."
34,Waves and high tides from the storm caused flooding along the Pamlico Sound side of Ocracoke and southern Hatteras Island.
35,"High tides also resulted in overwash in Pea Island, forcing the closure of Highway 12 due to 12 inches(300 mm) of salt water."
36,"High tides from the storm also destroyed two houses in South Nags Head and one in Rodanthe, two of which were previously condemned after the 1991 Perfect Storm."
37,Three other houses in the Outer Banks were threatened by the storm.
38,"Elsewhere in the Outer Banks, damage was minimal, and was limited to pedestrian ramps and steps to the beachfront."
39,"--Mid-Atlantic--
In Virginia, Tropical Storm Danielle produced peak wind gusts of 61 mph(98 km/h) at Cape Henry, though sustained winds remained below tropical storm strength."
