,sentences
0,"The 2015 Southeast Africa floods, partially related to Cyclone Bansi and Tropical Storm Chedza, killed at least 176 people in Malawi, 86 in Mozambique, and at least 46 in Madagascar over the course of a week while leaving hundreds more missing."
1,"Vice President of Malawi Saulos Chilima stated that over 200,000 Malawian people have been displaced by the flood."
2,"About 400,000 African people have been displaced in total, and 153 were declared missing."
3,"Flooding began on January 14, 2015, subsiding at the end of the month."
4,"Due to the flooding, the soil in some areas became over saturated and caused landslides, leading to more deaths."
5,"The rainfall of Southeast Africa was recorded as being 150% higher than normal, flooding roughly 63,000 hectares in total."
6,"Through years of research, Africa is said to have shown a complex pattern of rainfall, causing droughts and floods in the same season."
7,Much of the damage from the 2014-2015 rain season can be attributed to the effects of El Niño.
8,"-Effects by country-
--Malawi--
Two weeks of heavy rainfall killed 176 people and caused US$450 million in damage, or roughly 10% of the country's GDP."
9,== References ==
