index,sentences
0,"The 2016 Maryland flood was a natural disaster in the United States that took place on July 30, 2016."
1,"The flooding, which occurred in the Baltimore area, affected low-lying areas of the Patapsco and Jones Falls valleys."
2,"The storm caused significant damage to the historic downtown area of Ellicott City, Maryland."
3,"-Flood event-
On the evening of July 30, a severe thunderstorm moved into the area of Ellicott City where it dumped an estimated 6 inches(15 cm) of rain in two hours."
4,The flash flood that resulted inflicted severe damage to the area primarily on Main Street(Maryland Route 144).
5,"Flooding damaged many homes, businesses, sidewalks, and landmarks, including the city's landmark clock."
6,"Maryland Governor Larry Hogan declared a state of emergency and at least two people were confirmed to have died(Jessica Watsula, 35, and Joseph A. Blevins, 38)."
7,"-Aftermath-
Main Street remained closed for more than two months as businesses and residents cleaned up from the floods and began repairing damaged buildings and sidewalks."
8,"The street  reopened to vehicle and pedestrian traffic on October 6, 2016."
9,"The Howard County Councilman Jon Weinstein(District 1) attempted to put a moratorium on development throughout the Tiber-Hudson watershed, but the push was ultimately unsuccessful in preventing further development."
