,sentences
0,"The Palmer Fire was a wildfire in Beaumont, California in the United States."
1,"The fire was reported on September 2, 2017, and was 100% contained by September 6 at 11:53 AM."
2,The cause of the fire was fireworks.
3,"The Palmer Fire burned a total of 3,874 acres(16 km2)."
4,"-Progression-
The Palmer Fire was reported on September 2, 2017, at 1:33 PM, in Beaumont, California near San Timoteo Canyon Road and Fisherman's Retreat."
5,"Upon arrival, the fire was burning 50 acres(0 km2)."
6,"Approximately one hour later, the fire was burning 500 acres(2 km2) and at 3:30 pm evacuation orders were in place for Oak Canyon Road between San Timoteo Canyon Road and Interstate 10."
7,"By the end of the day, the fire had 3,200 acres(13 km2) and was 10% contained."
8,"Redlands Boulevard, south of San Timoteo Canyon Road, was closed and evacuation centers were opened in Redlands and Yucaipa."
9,Approximately 450 people were evacuated from their homes.
10,"By morning on September 3, the fire had spread 3,300 acres(13 km2) and was 15% contained and evacuations were removed."
11,"By the end of the day, 3,800 acres(15 km2) were burning and 35% was contained."
12,"On September 6, the fire was 100% contained, after burning 3,874 acres(16 km2)."
13,The cause of the fire was fireworks.
14,300 fire personnel fought the fire.
